,1. open,2. high,3. low,4. close,5. volume
2022-06-24 13:15:00,244.8130,245.1570,244.5670,244.7030,417840
2022-06-24 13:10:00,244.4680,245.1230,244.4630,244.7870,625686
2022-06-24 13:05:00,244.2600,244.6570,244.1200,244.4700,348255
2022-06-24 13:00:00,244.5670,244.8200,244.2430,244.2870,437994
2022-06-24 12:55:00,244.3730,244.7640,244.2900,244.5570,401484
2022-06-24 12:50:00,243.9270,244.5670,243.8400,244.4000,475245
2022-06-24 12:45:00,244.0000,244.0670,243.5370,243.9050,284475
2022-06-24 12:40:00,243.3770,244.1670,243.2930,244.0000,543654
2022-06-24 12:35:00,243.0400,243.5100,242.8530,243.4000,314136
2022-06-24 12:30:00,243.5570,243.6530,243.0330,243.1130,252309
2022-06-24 12:25:00,243.3570,243.6300,243.0900,243.5530,291489
2022-06-24 12:20:00,243.5700,243.6900,242.7320,243.3300,274335
2022-06-24 12:15:00,243.3000,243.7500,243.2400,243.6070,469191
2022-06-24 12:10:00,243.2070,243.4670,242.8830,243.3170,374382
2022-06-24 12:05:00,243.9060,243.9400,243.1300,243.2200,640170
2022-06-24 12:00:00,243.5630,244.3430,243.3330,243.9330,837333
2022-06-24 11:55:00,243.0270,243.5900,242.7770,243.5150,707295
2022-06-24 11:50:00,242.6870,243.3830,242.6200,243.0430,456750
2022-06-24 11:45:00,243.0170,243.0320,242.3370,242.7230,480468
2022-06-24 11:40:00,243.5230,243.5810,242.9730,243.0420,353307
2022-06-24 11:35:00,242.6730,243.6230,242.5670,243.5730,647136
2022-06-24 11:30:00,243.1470,243.2640,242.5670,242.6800,429249
2022-06-24 11:25:00,242.1420,243.3330,242.1170,243.0690,685368
2022-06-24 11:20:00,242.2070,242.4330,241.9670,242.0900,571881
2022-06-24 11:15:00,242.9780,243.0000,242.1400,242.2170,645315
2022-06-24 11:10:00,244.1930,244.2930,242.9170,243.0000,635397
2022-06-24 11:05:00,244.2570,244.4570,244.1170,244.1300,582348
2022-06-24 11:00:00,243.1200,244.3500,243.0470,244.2830,880830
2022-06-24 10:55:00,242.5840,243.6200,242.1200,243.1210,926658
2022-06-24 10:50:00,242.7300,242.8330,241.7550,242.5670,546483
2022-06-24 10:45:00,242.5570,242.7670,241.7470,242.7130,866484
2022-06-24 10:40:00,243.0730,243.1330,242.2970,242.5270,964860
2022-06-24 10:35:00,244.6530,244.7000,243.0430,243.0570,704658
2022-06-24 10:30:00,244.9800,245.2200,243.9470,244.6070,765363
2022-06-24 10:25:00,244.3330,245.1130,243.6900,244.8970,798192
2022-06-24 10:20:00,244.1230,244.8600,243.2170,244.3980,1288512
2022-06-24 10:15:00,244.7740,245.4530,243.7250,244.0820,1218333
2022-06-24 10:10:00,245.8800,245.9230,244.6900,244.8050,1211499
